"","mz","intensity","molecular_formula","compound_name","compound_id","moduleColor","GS.Treatment","p.GS.Treatment","MM.magenta","p.MM.magenta","MM.yellow","p.MM.yellow","MM.blue","p.MM.blue","MM.pink","p.MM.pink","MM.grey","p.MM.grey","MM.turquoise","p.MM.turquoise","MM.green","p.MM.green","MM.red","p.MM.red","MM.greenyellow","p.MM.greenyellow","MM.black","p.MM.black","MM.purple","p.MM.purple","MM.brown","p.MM.brown"
"378.0808149","378.0808149",2054503.7,"C10H14N5O6P||C10H12N5O7P||C11H15NO9P||C11H19NO8||C10H12N5O7P","dAMP||3',5'-Cyclic GMP||Nicotinate D-ribonucleotide||N-Acetylmuramate||2',3'-Cyclic GMP","C00360||C00942||C01185||C02713||C06194","black",0.270880448315614,0.047569787223366,-0.427996636224539,0.00124482695726009,0.432250937070599,0.00109836159936802,-0.200856047155584,0.145299692738359,-0.166913813272347,0.227684324862566,-0.207103012026761,0.132936052044174,0.369773334735939,0.00592383762553677,0.134762626279192,0.331265267733708,0.145121844965111,0.295087775269856,-0.0182370308084522,0.895862877612801,0.584641147864328,3.45011653372442e-06,-0.0400673339547563,0.77360725611913,0.0256971383693182,0.853663186394825
"296.1685692","296.1685692",3723275.255,"","","","black",0.217900434986217,0.113454943208483,-0.444193716558094,0.000766175035638369,0.183440424254941,0.184256239713178,-0.350645676257167,0.00933530862386682,-0.434950293823955,0.00101364469191554,0.175480617964125,0.204364015242993,0.443791864500436,0.000775682358938136,0.595643121476418,2.0206118255056e-06,0.155895192145845,0.260299066686555,-0.00752219212546638,0.956947975138633,0.695131854782744,5.46714608067355e-09,-0.148342419471245,0.284385598284482,0.0640810308558981,0.645263100417453
"228.1453715","228.1453715",294831.28,"C9H21N2O3||C9H19N5O3","(3S)-3-Hydroxy-N6,N6,N6-trimethyl-L-lysine||beta-Alanyl-L-arginine","C01259||C05340","black",0.208533319582987,0.130219947339631,0.203988570554342,0.138997255375214,-0.0664407488261163,0.633118872555731,0.464250148263361,0.000405996519412562,0.306409445171186,0.0242301944748017,-0.121034587087194,0.383307202566068,-0.366435989199826,0.00642553632010803,-0.357985029534286,0.00786521004448356,-0.195097013491569,0.15743688193047,-0.0307589377425644,0.825252502486798,-0.596055604897335,1.97971915008536e-06,0.281917453495066,0.0388961735805892,-0.0428545310508399,0.758319801976085
"314.1183558","314.1183558",1516476.645,"","","","black",-0.202999914558499,0.140963889233722,0.435488149480367,0.000997483377068564,-0.664878771013331,4.17513811681988e-08,0.199446303950364,0.148204333579522,0.0476766096958053,0.73208970225995,0.372121969646339,0.00559163776366344,-0.443584570105515,0.000780628127024383,-0.00741817475500042,0.957542751735161,-0.332201147118857,0.0141202902566361,-0.245578372328691,0.073466798536742,-0.797559053476963,5.26159972132121e-13,-0.216430733716133,0.115970158454737,0.131136047706058,0.344561342674776
"157.0757427","157.0757427",1300807.815,"C10H10N2O||C10H10N2O||C10H8N2","None||None||None||None||None||None||(Indol-3-yl)acetamide||Indole-3-acetaldehyde oxime||3-Indoleacetonitrile||None||None||None||None","None||None||None||None||None||None||C02693||C02937||C02938||None||None||None||None","black",0.166612925074123,0.228535536582478,-0.672205115254343,2.60768189768043e-08,0.685475634018751,1.07398047547578e-08,0.0348222708795327,0.802603880576114,-0.29962292671394,0.0277295677207294,-0.178316779555917,0.197029046138281,0.61574066841127,7.2114895569727e-07,0.0309368765105668,0.824257583435874,0.137418351722084,0.321735859035321,0.448234933000325,0.00067624037209959,0.826935714431,1.31501985265354e-14,0.404627455048744,0.00240729512709875,-0.336924054520645,0.0127292747169539
"322.5940962","322.5940962",231540.365,"","","","black",0.147645693095719,0.286678961238577,-0.344332788759828,0.0107845338221012,0.374738327765354,0.00524088456239995,-0.372226965048933,0.00557717564362118,-0.254800372984968,0.0629702900317903,-0.0331236001671646,0.812053672897341,0.492126651985779,0.000157037238828595,0.262263306801971,0.0553877804412283,0.107681379618663,0.438318707197417,0.0152370659575951,0.91292056507256,0.690451156519583,7.60870799344210e-09,-0.0259221877082941,0.852395836054302,-0.082772717241697,0.551814800867833
"276.6785062","276.6785062",1462514.25,"","","","black",0.144679770691694,0.296576992675843,0.172909949048747,0.211177125439583,-0.304999176240754,0.0249250529385915,0.326156599418159,0.0160888604775367,-0.0311728578553655,0.822938550660054,0.175823580498242,0.203466928074035,-0.253064368834186,0.0648483920087655,-0.0856475613338658,0.538036500857734,-0.332491656129091,0.0140311194646896,-0.123879348495327,0.372142405976558,-0.549459223166141,1.68538614086094e-05,0.0366098896863572,0.792689463240901,0.0555900784570193,0.689707172534585
"244.165022","244.165022",536969.77,"","","","black",0.143089271908696,0.301975212880761,0.207531993743792,0.132116998993221,-0.297165697163683,0.0290967122012808,0.192147573789644,0.163934233900399,0.0892634777397314,0.520948022519644,-0.0267229673854053,0.847889319679318,-0.489568796748251,0.000171926230041117,-0.0741369606080745,0.594186048842539,-0.0639989379357904,0.645687271160733,-0.0426892393302711,0.759223917581463,-0.584182605272116,3.52641589819514e-06,0.0206033369905194,0.882440658836159,0.283711646642739,0.037617920555496
"119.0684142","119.0684142",542845.09,"","None||None||None||None||None||None||None||None","None||None||None||None||None||None||None||None","black",0.141062882452588,0.308944239107765,-0.334603477977396,0.0133972852854972,0.55452106314913,1.35635032619251e-05,-0.220351501019621,0.109353316815191,0.132031425792777,0.34124830491886,-0.45443595372149,0.000556655188757426,0.225053701771164,0.101804341436883,-0.0814493051582689,0.558213583171498,0.355266225507219,0.00838445478461933,0.29272620195562,0.0317095269872522,0.584310119985992,3.50504197985343e-06,0.157010148139536,0.2568631325801,-0.0955281725274101,0.491998211830461
"587.8269229","587.8269229",1695369.6,"","","","black",0.137969346996303,0.319780735911443,0.368260453050875,0.0061468546884465,-0.568567170976232,7.28442437558565e-06,-0.0260583009297514,0.851629502827501,-0.0337882534030616,0.808352927468489,0.265329749984515,0.0524945169297624,-0.310445451119983,0.0223310567670383,-0.0409288496143156,0.768872531382954,-0.312119139157086,0.0215812036684302,-0.454314885241106,0.000558793872249951,-0.632061077627903,2.95825979167558e-07,-0.300470314111222,0.027270750594539,0.17548101524748,0.204362974455561
"138.0822606","138.0822606",663280.83,"","","","black",0.137792691419092,0.320406748053191,-0.393778907305658,0.00321911698574092,0.524906187231131,4.60519708213486e-05,-0.194626590849934,0.158460281030947,-0.0284520229532232,0.838175413759067,-0.325273979329584,0.0163950362683728,0.349521716074521,0.00958025181856522,-0.0375194644754688,0.787657173612257,0.205010940391458,0.136985204963795,0.22850846436284,0.0965195374193043,0.601126588095912,1.53611988796834e-06,0.0855069442689254,0.538706517845787,-0.166375291428313,0.229209354335417
"245.019145","245.019145",405465.675,"","None||None||None||None","None||None||None||None","black",-0.136947129576316,0.32341391589855,-0.369770245100011,0.00592428576442758,0.317418340231075,0.0193458390007153,-0.380605786508612,0.00452360828792297,0.0792608706999302,0.568870996324128,-0.127272585514602,0.359084062593978,0.350387595179942,0.00939106694770105,0.0316121806047251,0.820484224176599,0.381373781925997,0.0044364268437797,0.123571929066183,0.373339408497609,0.595630464993918,2.02187891936667e-06,-0.115646890187411,0.404990312545666,-0.0888200042015234,0.52302913998388
"346.0914565","346.0914565",1328583.75,"C9H18NO8P||C17H12O7||C17H12O7||C17H12O7||C17H12O7","D-4'-Phosphopantothenate||Aflatoxin M1||Aflatoxin Q1||Aflatoxin B1-exo-8,9-epoxide||Aflatoxin B1-endo-8,9-epoxide","C03492||C16756||C19585||C19586||C19595","black",0.13575498669389,0.32768389990012,-0.275432543305284,0.0438184080493383,0.0934085511919958,0.501698415917897,-0.422738430294314,0.00144990081310606,-0.035394151368148,0.799428703017845,0.144655064372936,0.296660364705526,0.365557529132541,0.00656360964483131,0.306034790386073,0.024413182570077,0.24451461559089,0.0747620165700037,-0.0464114834105117,0.738943495101745,0.430285191789023,0.00116399711090286,-0.116083415453755,0.403207446071346,0.0327574975740058,0.814093855770957
"332.6710065","332.6710065",411090.41,"","None||None","None||None","black",-0.132109932232215,0.340958766133292,0.292971972669239,0.0315599438171762,-0.452557829027725,0.000590679774006399,0.050175956711499,0.718610811688057,0.130649743397552,0.346369063598445,0.288413312693025,0.0344320072860112,-0.170519178055922,0.217655121191353,-0.202463432615129,0.142039712125601,-0.261193971849096,0.0564265519769674,-0.148320962799978,0.284456045234574,-0.566266024432476,8.0811512905082e-06,-0.0238263093028626,0.86421253840849,-0.0903358307086,0.515932888135005
"148.06648","148.06648",252959.4,"","None||None","None||None","black",0.127666397392041,0.357586868190441,-0.510012892417615,8.16673650705412e-05,0.509594544659522,8.29605401424583e-05,-0.415196333200364,0.00179683285222618,-0.184480844038115,0.18173698251527,-0.253293796665022,0.0645976423277243,0.424912970767544,0.00136168656135473,0.230241161399047,0.0939505079869435,0.343389386524776,0.0110169734139191,0.158161212992384,0.253348126086005,0.836207480610043,3.54610955516555e-15,0.0198542168890638,0.886686473979162,-0.0127623220110743,0.927021585109352
"237.0866772","237.0866772",539834.095,"C9H9NO4||C7H11NO4||C11H12N2O4||C9H16N3O2||C9H9NO4||C11H9NO4||C11H9NO4||C10H7NO2||C11H14N2O5||C11H14N2O5||C9H9NO4","Dopaquinone||N-Acetyl-L-glutamate 5-semialdehyde||L-Formylkynurenine||Hercynine||2-Carboxy-2,3-dihydro-5,6-dihydroxyindole||5-Hydroxyindolepyruvate||8-Methoxykynurenate||1-Nitronaphthalene||2-Hydroxyfelbamate||p-Hydroxyfelbamate||6-Hydroxy-3-succinoylpyridine","C00822||C01250||C02700||C05575||C05604||C05646||C05830||C14040||C16582||C16584||C19631","black",0.126687337081819,0.36131611433208,-0.533769371176741,3.23271501617229e-05,0.661535683844992,5.15325743267773e-08,-0.0122632861495808,0.929867915872655,-0.18813301800213,0.173090159855059,-0.211480366679496,0.12475570611875,0.570994437070538,6.52345799620248e-06,0.00605638677581731,0.965331521968462,0.203262584848081,0.140439371701164,0.421754345798079,0.00149147598518913,0.845369857063105,8.94261664323787e-16,0.342033134889226,0.0113586969734586,-0.310758424918217,0.0221891889476801
