"","mz","intensity","molecular_formula","compound_name","compound_id","moduleColor","GS.Treatment","p.GS.Treatment","MM.tan","p.MM.tan","MM.red","p.MM.red","MM.grey","p.MM.grey","MM.green","p.MM.green","MM.black","p.MM.black","MM.magenta","p.MM.magenta","MM.turquoise","p.MM.turquoise","MM.yellow","p.MM.yellow","MM.pink","p.MM.pink","MM.blue","p.MM.blue","MM.greenyellow","p.MM.greenyellow","MM.brown","p.MM.brown","MM.purple","p.MM.purple"
"225.0160055","225.0160055",591550.7,"C6H11O8P","6-Deoxy-5-ketofructose 1-phosphate","C16848","black",0.867644228765357,3.58548008928352e-20,-0.214647453198974,0.0911528215749886,0.126382359669122,0.32363967286153,0.1982358775807,0.119365840231325,-0.391948261858678,0.00148885849229945,0.523474523732623,1.07152293599306e-05,-0.134785171762376,0.292241930750728,-0.147473661133297,0.248739816020456,-0.072537402004578,0.572098562321006,0.0535274029208637,0.676933187515115,0.274803312096303,0.0292828525176458,0.06291039047644,0.624259700081754,0.175996747087923,0.167662335312742,-0.0983039235626901,0.443380201177261
"223.0202811","223.0202811",7548510.3,"C7H6O4||C6H12N2O4S2||C7H6O4||C8H8O6||C8H8O6||C8H8O6","3,4-Dihydroxybenzoate||L-Cystine||2,5-Dihydroxybenzoate||4-Maleylacetoacetate||4-Fumarylacetoacetate||2-Hydroxy-5-carboxymethylmuconate semialdehyde","C00230||C00491||C00628||C01036||C01061||C04642","black",0.866022318428008,5.07166214365266e-20,-0.201160039413844,0.113902578780828,0.126225385872203,0.324245884085077,0.21937178014906,0.0840864175688101,-0.403565422771428,0.00103898679232381,0.529117760752028,8.25977624791353e-06,-0.144008696805039,0.260154630734426,-0.171616886913839,0.178660233830957,-0.0449054783837362,0.726740141085117,0.0542188086682399,0.672994784543271,0.295991809785019,0.0185047259849201,0.0654673854835436,0.61021043017213,0.158991851930457,0.21327046922163,-0.0999040149880273,0.435958293832838
"224.0237715","224.0237715",369974.81,"","","","black",0.846939266315401,2.19844912934058e-18,-0.230390529595691,0.0692826712658385,0.0715047345345996,0.57759596114433,0.164890648978153,0.196554223475084,-0.396001830892597,0.00131513767618402,0.545565070636101,3.76437276705608e-06,-0.0951727585698393,0.458105564082831,-0.118890583847643,0.353373746372306,-0.0954070541004606,0.456994534783239,0.081165684035373,0.527140828491674,0.27860351995583,0.0270328420549439,0.0946383078820566,0.460645449866487,0.229884800284543,0.0699129957651953,-0.0866985725733957,0.499267756241706
"467.0901935","467.0901935",1030939.355,"","None||None||None||None","None||None||None||None","black",0.663486912874305,3.10412312704265e-09,-0.114011986406103,0.37361268614013,0.017203458960199,0.893541979563981,0.146847577360759,0.250776652953012,-0.362424305271052,0.0035116413909721,0.705160628854171,1.10582729101502e-10,-0.0996386095466707,0.437184502545614,-0.0493884800487326,0.700686688073019,-0.25295581122269,0.0454756126941845,0.0307793155366593,0.810742872044947,0.274157533038103,0.0296803998647041,0.0675663958030684,0.598780984496342,0.323602351589024,0.00967883561850051,-0.133835797433547,0.295685737420577
"322.5940962","322.5940962",231540.365,"","","","black",0.578375014004643,6.88893577793247e-07,-0.181053300459698,0.155591639596733,-0.184232724633603,0.148338680926208,0.00270225158263183,0.983230513678314,-0.492783078594865,4.08099913458743e-05,0.728058601658408,1.36912450547119e-11,0.0588175194554107,0.64702592745321,-0.112791708235298,0.378782286839091,-0.312106098288167,0.0127669541319446,0.256514861641524,0.0424231492186518,0.386958564880713,0.00173084423835185,0.299964795908356,0.0169170697259519,0.518603399177831,1.33646651639113e-05,0.13332274324223,0.297557798205245
"250.6267954","250.6267954",4715208.1,"","","","black",0.541160589145486,4.66501285402789e-06,-0.235109468903842,0.0636179600518431,-0.125160185852226,0.328378571851853,0.0214678094611203,0.867368088547772,-0.343356104575491,0.00586871268484117,0.689366148314716,4.17728709300135e-10,0.127602548038894,0.318952050587225,0.16432297783828,0.198120955504486,-0.493381653940266,3.98075081241669e-05,0.0549533951128074,0.668819977958074,0.065136718319325,0.612019543212186,0.200364463102781,0.115369584840504,0.59058503814072,3.48845533077158e-07,0.0923274807534592,0.471715145371172
"242.6292922","242.6292922",1771903.22,"","","","black",0.529501363477513,8.11355197480103e-06,-0.35175769178439,0.00469808307833832,-0.14247874710963,0.265305593008215,-0.0878520569953525,0.493554599169884,-0.317005115453177,0.0113601171764194,0.51156735260723,1.82803253558779e-05,0.255361748428369,0.0433930574365883,0.152890723317755,0.231587338604754,-0.378985632561672,0.00219123858107893,0.172851034337257,0.175509660365393,0.106917048315572,0.404264950754775,0.408568372934025,0.000886295921493847,0.540555635873013,4.80336681896345e-06,0.0613221938001162,0.633053947503655
"251.1286348","251.1286348",1021636.54,"","","","black",0.511133158405043,1.86328723408554e-05,-0.249448305988889,0.0486581976506699,-0.039999031279999,0.75561096719353,0.0576738294745821,0.653446800097663,-0.393840855108862,0.00140533573655498,0.678108745809758,1.02465255395617e-09,0.129738140139353,0.31085257773398,0.149263844809241,0.242978178864916,-0.443873281140523,0.00026854425931638,0.0426870546101054,0.739749836374001,0.0411680495051691,0.748700195083399,0.206401359135901,0.104593149833325,0.584159642419077,5.00785330511891e-07,0.05031689242631,0.695332607545857
"132.0654425","132.0654425",21272317.4,"C3H6O3||C3H6O3||C3H6O3||C5H9NO3||C3H6O3||C5H6O3||C3H6O3||C5H9NO3||C5H9NO3||C5H9NO3||C5H9NO3||C3H6O3||C5H9NO3||C5H9NO3||C5H9NO3||C5H9NO3||C4H4O||C5H9NO3","Glycerone||(S)-Lactate||(R)-Lactate||5-Aminolevulinate||D-Glyceraldehyde||2-Hydroxy-2,4-pentadienoate||3-Hydroxypropanoate||N-Acetyl-beta-alanine||5-Amino-2-oxopentanoic acid||Hydroxyproline||L-Glutamate 5-semialdehyde||L-Glyceraldehyde||2-Amino-4-oxopentanoic acid||cis-4-Hydroxy-D-proline||(S)-4-Amino-5-oxopentanoate||trans-3-Hydroxy-L-proline||3-Butyn-1-al||cis-3-Hydroxy-L-proline","C00184||C00186||C00256||C00430||C00577||C00596||C01013||C01073||C01110||C01157||C01165||C02426||C03341||C03440||C03741||C05147||C06145||C19706","black",0.460096801056538,0.000148310296976531,0.0819994491035231,0.522891577139477,0.0452743264475299,0.724584390086726,0.383056211889018,0.00194406063691078,-0.497013587752182,3.41972918058763e-05,0.779050118662426,5.53694806260508e-14,-0.334473359010416,0.00737805447030244,-0.366039312867131,0.0031746847291078,-0.215544166026259,0.0897769380394291,-0.0607129064449124,0.636441283478392,0.3838499333281,0.00189888003118425,-0.0791726157834339,0.537367563222969,0.155156845788721,0.22466087380615,0.163030430688023,0.201721476655254
"426.683857","426.683857",1796058.18,"","","","black",0.389346056641267,0.00161097563696779,-0.20922257526966,0.0998322410587324,-0.142879417193722,0.263950062833928,0.00702513953809458,0.956421789468399,-0.378582521725905,0.00221718318801955,0.573927028839163,8.76702619572864e-07,0.162791409205537,0.202392359715881,0.0410801320387234,0.749219251984854,-0.410415079459859,0.000835271253843099,0.208728968168108,0.100652828383553,0.133591552585577,0.29657599047867,0.236622003952983,0.0618833766152499,0.563658788949955,1.509257406817e-06,0.260982658147328,0.0388325119617653
