"","mz","intensity","molecular_formula","compound_name","compound_id","moduleColor","GS.Treatment","p.GS.Treatment","MM.tan","p.MM.tan","MM.salmon","p.MM.salmon","MM.black","p.MM.black","MM.turquoise","p.MM.turquoise","MM.greenyellow","p.MM.greenyellow","MM.brown","p.MM.brown","MM.green","p.MM.green","MM.grey","p.MM.grey","MM.magenta","p.MM.magenta","MM.purple","p.MM.purple","MM.blue","p.MM.blue","MM.yellow","p.MM.yellow","MM.pink","p.MM.pink","MM.red","p.MM.red"
"322.5940962","322.5940962",231540.365,"","","","black",0.470723738077534,0.000327975022272713,-0.317779906942019,0.0192007565932576,0.448292718763433,0.000675026554700875,-0.660744741187394,5.41428929744075e-08,0.454138699611505,0.000561919473993729,0.127782875985223,0.357144771882254,0.547645345421106,1.8202448380863e-05,-0.203112089001204,0.140739713267749,0.0594558329421121,0.669332465072016,0.137114081432046,0.322818755720186,0.0047357505014712,0.972887999744466,-0.309500004053391,0.0227642758214459,-0.0216525555419892,0.87649949960403,0.0906496567035174,0.514469813511264,-0.247305205758646,0.0714022239221089
"321.1108489","321.1108489",1098305.7,"","None||None||None||None||None||None","None||None||None||None||None||None","black",0.389120946971885,0.00363629881308051,-0.518156754194731,5.99015694856159e-05,0.538231097119968,2.6950070792712e-05,-0.599040000929946,1.70604359707693e-06,0.25685872614059,0.0608002814387426,-0.0259466320667752,0.852258201493313,0.42182119982246,0.00148861817969675,0.031128959782972,0.823183885080379,-0.0842930648371474,0.544507281764856,0.207448813525025,0.132275517296466,0.18532698889864,0.179706507587289,-0.151740029611006,0.273375014577965,0.198482092223595,0.150215651509734,-0.190806274559159,0.166953020111848,-0.345929825316683,0.0104006888230502
"218.9839653","218.9839653",2664529,"","None||None||None||None","None||None||None||None","black",-0.355192214467103,0.00839899607889764,0.661344835237608,5.21513683463107e-08,-0.472230752175393,0.000311889474867641,0.625433634636815,4.27432069554916e-07,-0.379091905846839,0.00469988279483028,-0.253462138859908,0.0644141497931433,-0.462666664143817,0.000427479628426163,0.246145618843062,0.0727834448720339,0.0331982246677321,0.81163796381285,-0.36125132061984,0.00727856457794732,0.00941579786554763,0.946124630794632,-0.0170306828686241,0.902716947743606,-0.0730173738750559,0.599783286191576,0.0943648076548012,0.497310088416868,0.223055117104884,0.104962123202313
"157.0757427","157.0757427",1300807.815,"C10H10N2O||C10H10N2O||C10H8N2","None||None||None||None||None||None||(Indol-3-yl)acetamide||Indole-3-acetaldehyde oxime||3-Indoleacetonitrile||None||None||None||None","None||None||None||None||None||None||C02693||C02937||C02938||None||None||None||None","black",0.352343175834946,0.00897565864614349,-0.670875831336273,2.84294430208062e-08,0.564944085082776,8.57465457837402e-06,-0.82904204058766,9.83160738669847e-15,0.486021183142381,0.000194712437560077,0.436848242537082,0.000957643716088892,0.716605260135731,1.10373868600467e-09,-0.390478637864296,0.00351003334395071,0.142083311584731,0.305422048366452,0.609056485936857,1.02393976288673e-06,-0.0467871107550561,0.736906412423444,0.15917566066955,0.250277388145757,-0.133035458606835,0.337556862619971,-0.0791385514826595,0.569469449634552,-0.332550073915561,0.0140132466959981
"355.1625256","355.1625256",9773247.45,"","None||None||None||None","None||None||None||None","black",-0.346948026749978,0.0101621745147683,0.611222107756679,9.14809563418828e-07,-0.455973065909092,0.00053013790713253,0.590786708910921,2.56508795648182e-06,-0.360168391114585,0.00746869434625152,-0.154271693398735,0.265357147884595,-0.510894543417536,7.90023772619106e-05,0.13004059989581,0.348641665502798,0.0432826849442147,0.755979372401398,-0.264409484363296,0.0533496281309931,-0.0130739621278443,0.925244553436195,0.147671649670373,0.286593305092868,-0.0600650244978816,0.666142667623041,-0.0239710920427656,0.863395264283571,0.290007153702121,0.0334041563050149
"194.1250652","194.1250652",2754323.15,"","","","black",-0.332852914073306,0.0139209058682939,0.264757470294765,0.0530249612003846,-0.525360598878241,4.5234834831596e-05,0.647794785831628,1.1914471916731e-07,-0.525233007466825,4.54629155712523e-05,-0.145814773801969,0.292763305757175,-0.554885227646401,1.33513827569665e-05,0.207620435513392,0.13194861040085,-0.0508490643397042,0.714995048747624,-0.0741227313191073,0.59425704074664,-0.00305214981162724,0.982524643627732,0.309423621108167,0.0227995830628931,0.168553483542,0.223084252281833,0.00456231901386092,0.973880537786473,0.244120257113137,0.0752467579624126
"130.0648875","130.0648875",14657027.5,"C9H10N2","Dimethylbenzimidazole||None","C03114||None","black",0.308127691316408,0.0234056882898028,-0.601916837253761,1.475991648618e-06,0.496946667891283,0.0001321364725775,-0.822832010655455,2.29197916883119e-14,0.381585230291579,0.00441268458161052,0.338261466060968,0.0123574374440141,0.56144469721937,1.00191672370924e-05,-0.344924119272176,0.010641006977414,0.131244741261192,0.344158100673619,0.569982659472393,6.83121463605396e-06,0.0141901275463535,0.91888299510919,0.204233143294959,0.138513931403085,0.00608974128734189,0.965140708932398,-0.209648989684175,0.128130516382793,-0.294403391932123,0.0307003693433045
"326.7104933","326.7104933",10035064.84,"","None||None","None||None","black",-0.302025484654122,0.0264452445638249,0.338827289727022,0.0122029568672072,-0.439470209567283,0.000884854530852479,0.522936612617251,4.97531495644124e-05,-0.651685815727544,9.43779392330176e-08,-0.688995506823684,8.42188367342428e-09,-0.469824693129514,0.000337926406972932,0.700895740422833,3.60768204138354e-09,0.0623750909514309,0.654100471234088,-0.330080674217683,0.0147859858512921,0.446986654028199,0.000702946438086114,-0.22168758089991,0.107165966898259,0.244018762197468,0.0753719166338799,-0.0406729498171378,0.770278042669501,-0.0788088845697367,0.571083813518533
"356.1647576","356.1647576",2224184.6,"C16H28N4O4S","Biocytin","C05552","black",-0.301272984407772,0.0268420267987671,0.676931192662464,1.91125654066902e-08,-0.559175635651822,1.10730118713469e-05,0.67833392396535,1.74097807745055e-08,-0.438412410778479,0.000913599009411942,-0.34948443993299,0.00958846975924619,-0.528961371097343,3.92163598051346e-05,0.302474274778312,0.0262109543671197,0.0264326672522368,0.849522480420401,-0.415069508787886,0.00180325111058089,0.0275627612439433,0.843168427969611,-0.0416738172806223,0.764785061500768,-0.0424175857240199,0.760710507095441,0.0211137570488675,0.879549602386113,0.236089863277091,0.0856702064699347
"307.6848531","307.6848531",366092.63,"","","","black",-0.297539945401208,0.0288849251688675,0.488697686554869,0.000177283823998229,-0.642925693838443,1.58748276753829e-07,0.716789041011005,1.08804326141451e-09,-0.523465141298196,4.87339854084585e-05,-0.591335612748434,2.49732514614136e-06,-0.632376636648768,2.90624398007927e-07,0.459103249608397,0.000479638858510551,-0.0487636006256078,0.726217457142134,-0.438141615968404,0.000921091280731046,0.151215995874357,0.275054522040901,-0.158419053735802,0.252565237716359,0.122277474734694,0.378404976096,-0.0893403777800587,0.52058757029613,0.232300464190108,0.0909668094433793
