"","mz","intensity","molecular_formula","compound_name","compound_id","moduleColor","GS.Treatment","p.GS.Treatment","MM.grey","p.MM.grey","MM.purple","p.MM.purple","MM.brown","p.MM.brown","MM.magenta","p.MM.magenta","MM.pink","p.MM.pink","MM.blue","p.MM.blue","MM.black","p.MM.black","MM.turquoise","p.MM.turquoise","MM.red","p.MM.red","MM.green","p.MM.green","MM.yellow","p.MM.yellow"
"371.0324004","371.0324004",542808.66,"","None||None||None||None","None||None||None||None","black",0.13003830585171,0.155137325011781,0.485632178925372,1.6425189494626e-08,-0.252106040081259,0.00527751441236604,0.0309464821001549,0.736148142111719,0.0516578301138061,0.573629820431943,0.147548558016443,0.106302104406395,-0.449054931031273,2.38907855528761e-07,0.635203677347507,5.06655194069875e-15,0.304319773785607,0.000689721671704205,-0.0893524678881934,0.32974579639781,0.504539872426744,3.62199881644603e-09,-0.532260542310019,3.31897351998641e-10
"259.0279664","259.0279664",348402.03,"","None||None||None||None","None||None||None||None","black",0.125952534094926,0.168640476515405,0.13474283542228,0.140612288952653,0.142953746436335,0.117767344914795,-0.108772323929888,0.234989751796097,0.105985511072072,0.247271863308431,0.261007438011522,0.00383312449739155,-0.103633559434907,0.25797719761941,0.755884910004066,1.23464096782132e-23,-0.109226921894758,0.23302742165005,-0.0706581966352361,0.441219425248682,0.304117943222806,0.000695698106298722,-0.284784652248523,0.00154582864469187
"180.0031705","180.0031705",1267997.28,"","None||None||None||None||None||None||None||None","None||None||None||None||None||None||None||None","black",0.121197376981939,0.185430010599066,-0.24949017415992,0.00578568119093706,-0.0317865923322061,0.7292595947137,0.199474529770856,0.0282686278220731,0.47895809664823,2.74110426606922e-08,-0.161784043960758,0.0762534772600876,0.0168252047283932,0.854665333813282,0.679954815239721,9.8168861761462e-18,0.219132673016375,0.0157409997901124,-0.484565237338793,1.78396451913991e-08,0.132254244198764,0.148161467193414,-0.261216899445309,0.00380389364586111
"260.8978656","260.8978656",291316.08,"","None||None||None||None||None||None||None||None","None||None||None||None||None||None||None||None","black",0.11221142194356,0.220429236625039,0.277573787232687,0.00205320826729062,5.89427681954127e-05,0.99948804514205,-0.417974298117612,1.84016552444318e-06,0.283248676193544,0.00164320177078508,0.573622153101732,6.10868884530016e-12,0.146015521820558,0.11002604160021,0.850940219732005,4.53726024674665e-35,-0.216175039500177,0.0172435214808475,-0.144612255073097,0.113523248993326,0.180828414342334,0.0471600386526408,-0.0949879538150601,0.30003086156869
"165.9877027","165.9877027",1410678.006,"","None||None||None||None||None||None||None||None||None||None||None||None||None||None||None||None","None||None||None||None||None||None||None||None||None||None||None||None||None||None||None||None","black",0.109724796678659,0.230891479827294,-0.112133157784926,0.220753321608851,-0.231819328277766,0.010512599017953,0.401097015834427,5.13467367591564e-06,0.425298878474336,1.15821313934447e-06,-0.253594885668716,0.0050064133567212,-0.301146228734098,0.000789373309258146,0.652101478573692,5.4178566540615e-16,0.458378416876522,1.24344423878622e-07,-0.431401032852686,7.80967609331136e-07,0.373878122402647,2.39777411963864e-05,-0.492992585963443,9.21824383248727e-09
"326.8874514","326.8874514",739531.6,"","None||None||None||None||None||None","None||None||None||None||None||None","black",0.100368123524993,0.273359865703478,0.287730875136746,0.00137359718842846,0.000588170982832288,0.99489140075563,-0.405665936132777,3.91067617256656e-06,0.250697600396899,0.00554594644919774,0.553323531730575,4.6468347745614e-11,0.128888911750014,0.158851261758783,0.876470094972354,1.39222378329328e-39,-0.192615168664788,0.0342906940995584,-0.166320422551744,0.0682647558309181,0.192750221551187,0.0341624308636471,-0.137694975401863,0.13203985847117
"275.0019494","275.0019494",338279.02,"C6H6O8","None||None||None||None||None||None||None||None||None||3-Oxalomalate","None||None||None||None||None||None||None||None||None||C01990","black",0.0937509423872402,0.306397408981309,0.136713531659924,0.134844243436717,0.0664849151523313,0.468731201173951,-0.228778599771434,0.0116024219619381,0.243599517339065,0.0070925727311877,0.306589328130528,0.000625685700287103,0.0427932720332733,0.641177246576863,0.860760821530456,1.06541718891747e-36,-0.0858851932412274,0.348931994571917,-0.189323357891458,0.037544952131298,0.169327746004574,0.0633534992628345,-0.173738271188169,0.0566756487095094
"297.9680375","297.9680375",329515.09,"","None||None||None||None||None||None","None||None||None||None||None||None","black",0.0901866234221178,0.325232635602089,0.23101159266653,0.0107929543565284,-0.14261723346439,0.118643287913167,0.164832393006893,0.0708067346529318,0.27399191812823,0.00235759465843094,0.0728502897870178,0.42714243485741,-0.377213995557571,1.99960226119152e-05,0.73980748932683,3.24396613235453e-22,0.271916698156899,0.00255206622307734,-0.281189037894271,0.00178251758918564,0.54852464224498,7.36093766727072e-11,-0.633444656930353,6.34394758086432e-15
"284.0024509","284.0024509",242006.9,"","None||None||None||None||None||None||None||None","None||None||None||None||None||None||None||None","black",0.0846920676891338,0.355692866014555,0.0417436222496737,0.649388544745337,0.0463504468847028,0.613675379154485,-0.253089145583129,0.0050970751492642,0.329045391844421,0.000228617781316762,0.396525797760361,6.7157868157936e-06,0.181356094193075,0.0465083753474263,0.870070899853906,2.31016435578329e-38,-0.189865264662252,0.0369920383617763,-0.188568077304355,0.0383271426910433,0.16432712104222,0.0716871145594782,-0.0875462111273947,0.339654989132641
"226.9516594","226.9516594",146378476.5,"","","","black",0.0810847174904451,0.376625712636351,0.224742755210194,0.0132010295415948,0.182592651942061,0.0450105500901607,-0.239008592460707,0.00828608833892283,0.0981106748077233,0.284349119608279,0.364952357355863,3.86026580499834e-05,-0.0933776663999045,0.308335788318093,0.883024663198214,6.63463130155545e-41,-0.137954975215176,0.131304461118798,-0.0760155972949348,0.407278701901215,0.290628888262969,0.00122141293754814,-0.258083586587468,0.00426272419183367
