"","mz","intensity","molecular_formula","compound_name","compound_id","moduleColor","GS.Treatment","p.GS.Treatment","MM.red","p.MM.red","MM.grey","p.MM.grey","MM.pink","p.MM.pink","MM.black","p.MM.black","MM.purple","p.MM.purple","MM.turquoise","p.MM.turquoise","MM.green","p.MM.green","MM.yellow","p.MM.yellow","MM.blue","p.MM.blue","MM.magenta","p.MM.magenta","MM.brown","p.MM.brown","MM.greenyellow","p.MM.greenyellow"
"495.2020802","495.2020802",6003823.08,"C20H42O7P2||C17H28N5O8S||C20H42O7P2||C17H28N5O8S||C20H42O7P2||C17H28N5O8S","Phytyl diphosphate||gamma-L-Glutamyl-S-(hercyn-2-yl)-L-cysteine S-oxide||Phytyl diphosphate||gamma-L-Glutamyl-S-(hercyn-2-yl)-L-cysteine S-oxide||Phytyl diphosphate||gamma-L-Glutamyl-S-(hercyn-2-yl)-L-cysteine S-oxide||None||None||None","C05427||C20995||C05427||C20995||C05427||C20995||None||None||None","black",-0.214080052629678,0.0156578558851962,0.101298534424897,0.257127335809665,0.0435453407159147,0.626889381742484,0.149129716544931,0.0942563028623076,0.891923640523494,6.54724553217035e-45,-0.430840359835226,4.27540863272671e-07,0.281921014541989,0.00132242741067643,0.0955620462890631,0.285191534636092,0.524752893045602,2.40721397141933e-10,-0.511904491663587,7.69300515766319e-10,-0.197283295680269,0.0262033424995633,-0.480080729435433,1.12040432348074e-08,0.139156986917267,0.118685259341917
"494.1986671","494.1986671",31733413.4,"C23H37NO6S||C23H37NO6S||C23H37NO6S||C23H37NO6S","20-Hydroxyleukotriene E4||20-Hydroxyleukotriene E4||20-Hydroxyleukotriene E4||20-Hydroxyleukotriene E4||None||None||None||None","C03577||C03577||C03577||C03577||None||None||None||None","black",-0.212790671377502,0.0163104104520005,0.0362080487260158,0.68610824870563,0.0966251926219376,0.279841672241549,0.187937968359776,0.0343529041861246,0.856065141172859,1.23401874538262e-37,-0.40988415448081,1.70586325004098e-06,0.206646935655278,0.0197541004478098,0.109262228321835,0.221400358424817,0.488732452482345,5.55655305857148e-09,-0.491099939439922,4.57065426234707e-09,-0.219973993238005,0.0129556004258898,-0.45544379626025,7.44472486093254e-08,0.0715643491714997,0.42397674846178
"476.1880448","476.1880448",4601897.66,"C19H21N7O6","Dihydrofolate||None","C00415||None","black",-0.20789039440902,0.0190104549257264,0.104596288089949,0.241880715714228,0.0468092062825308,0.601263887898846,0.152188461451368,0.0876207922668727,0.88615363440699,1.40505060943544e-43,-0.429347125827129,4.73317437005263e-07,0.274990130657239,0.00175466571082444,0.0829461644860474,0.35386818822295,0.511919658148456,7.68267934345111e-10,-0.502942413459331,1.68203541168871e-09,-0.198906258480894,0.0249712779654721,-0.480314856112159,1.0996220965709e-08,0.12351782512039,0.166506615302565
"516.1809684","516.1809684",1607929.955,"","None||None||None||None||None||None","None||None||None||None||None||None","black",-0.197073957124199,0.0263659781616459,0.136594338462011,0.125693604113316,0.00822242574596934,0.926898741990709,0.0998355218602947,0.264097961128383,0.892470717392416,4.85174414561156e-45,-0.397399077703052,3.72501751640382e-06,0.312714990225055,0.000344278320944859,0.0594742525199887,0.50656092573904,0.500745383641064,2.03063999047011e-09,-0.501165132593823,1.9590699118583e-09,-0.190682424297614,0.0317631441665192,-0.477939482795586,1.32879778539795e-08,0.112576500945564,0.207619251534061
"495.2018674","495.2018674",2220285.5,"C20H42O7P2||C17H28N5O8S","Phytyl diphosphate||gamma-L-Glutamyl-S-(hercyn-2-yl)-L-cysteine S-oxide","C05427||C20995","black",-0.186969561754967,0.035308284427049,0.0137478977579175,0.878077859906468,0.102112351132847,0.253304939823118,0.222341742834284,0.0119905776070411,0.82900606315797,2.41133231822744e-33,-0.362372428164389,2.83220399399118e-05,0.234474013883605,0.00796952940898805,0.11222184265296,0.209063878225382,0.509604956783269,9.42340851674134e-10,-0.529594146845445,1.53410955381131e-10,-0.275041258110906,0.00175105498048786,-0.484722680749002,7.7092764042229e-09,0.0902833268897587,0.31276134740783
"237.1151819","237.1151819",347327.43,"","None||None","None||None","black",-0.183693900731053,0.0387075171677696,0.0297481624813559,0.739886563065598,-0.0231930190123144,0.795772132987984,0.304732042107064,0.000495029250205485,0.77133964881336,2.70002047908481e-26,-0.259759608182368,0.00318600318941387,0.168930093609912,0.0576182569041128,0.152789736700059,0.0863612820499991,0.451440622962193,9.98788265881683e-08,-0.606280749946453,4.23886508165079e-14,-0.319606115745028,0.000249556191031224,-0.423710326579809,6.91849608405473e-07,0.155058781040269,0.0817378464136869
"257.0813042","257.0813042",1165434.69,"","None||None||None||None||None||None||None||None","None||None||None||None||None||None||None||None","black",-0.182943873540619,0.0395233433029645,0.105988337393413,0.235637343359851,-0.0137233305042514,0.87829405383402,0.0538793320772418,0.547425134176239,0.806201462992401,2.82906392643692e-30,-0.224293575806961,0.0112430083096479,0.0751580955704644,0.401018920282551,-0.116543530035783,0.191945870462653,0.231722580083418,0.00875846529509791,-0.383396762422664,8.62001960928241e-06,-0.199020788110125,0.024886237100615,-0.336024875182795,0.000112328180707499,-0.00434618397431999,0.96132178285993
"355.1093963","355.1093963",1384360.96,"","None||None||None||None","None||None||None||None","black",-0.182303887756322,0.040230829655544,-0.0715610740331815,0.423998011308504,-0.0155923100811312,0.861873630269859,0.217264718203834,0.0141424780934372,0.69203140137717,2.07025320833036e-19,-0.233766776160272,0.00816607263996114,-0.06400699081882,0.474656174466505,0.048349202213765,0.589337467511685,0.185851042394506,0.0364395412027458,-0.397890113666842,3.61448205620462e-06,-0.194282479453309,0.0286183732418912,-0.219702845580535,0.0130703300450633,-0.0830143210866355,0.353471465725927
"337.0987093","337.0987093",588899.53,"","None||None||None||None||None||None||None||None||None||None||None||None","None||None||None||None||None||None||None||None||None||None||None||None","black",-0.181580340411004,0.0410434396656902,-0.194903827197455,0.0281033368805229,-0.0236901931130996,0.791493022074087,0.252943642089694,0.00411568253336795,0.648436291605537,1.69206912508687e-16,-0.249594080868036,0.00465620257258467,-0.105925723152097,0.23591572677061,0.182544215792258,0.039963919497459,0.149414842714957,0.0936214177818053,-0.38735710721683,6.82546392561396e-06,-0.115575995095076,0.195686815432548,-0.122425662529575,0.170315822400107,-0.137630782711079,0.122821710848337
"357.1249041","357.1249041",1306675.31,"","","","black",-0.178452524047213,0.0447159962312562,-0.114990492002175,0.197976133412042,0.0379758990290171,0.671647389854181,0.302898058560155,0.000537331483737171,0.750432915514301,3.12960179961556e-24,-0.253718355895006,0.00399897383731106,-0.0325357360908434,0.716507778508418,0.132313181839551,0.138106656462507,0.318924731417211,0.000257712575557866,-0.50015970526096,2.1347195152803e-09,-0.282345040750785,0.00129943881066616,-0.309202562537501,0.000404437643483491,-0.0125689730792841,0.888462335838396
